"[1688390355.7084272, 1688390355.7122867, 1688390355.7161465, 1688390355.720006, 1688390355.7238655, 1688390355.7277253, 1688390355.7315848, 1688390355.7354445, 1688390355.739304, 1688390355.7431636, 1688390355.7470233, 1688390355.7508829]",-186.07584635416666,-247.39583333333334,-148.84440104166666,146.8505859375
"[1688390355.7536173, 1688390355.757383, 1688390355.761149, 1688390355.7649148, 1688390355.7686806, 1688390355.7724464, 1688390355.7762122, 1688390355.779978, 1688390355.7837439, 1688390355.7875097, 1688390355.7912757, 1688390355.7950416]",-281.982421875,-377.685546875,-228.19010416666666,472.9410807291667
"[1688390355.7959766, 1688390355.7996247, 1688390355.8032725, 1688390355.8069203, 1688390355.8105683, 1688390355.8142161, 1688390355.8178642, 1688390355.821512, 1688390355.8251598, 1688390355.8288078, 1688390355.8324556, 1688390355.8361037]",-967.8548177083334,-447.5911458333333,-607.2184244791666,27.83203125
"[1688390355.83591, 1688390355.8394513, 1688390355.8429925, 1688390355.8465338, 1688390355.850075, 1688390355.8536162, 1688390355.8571572, 1688390355.8606985, 1688390355.8642397, 1688390355.867781, 1688390355.8713222, 1688390355.8748634]",-872.3958333333334,-434.0413411458333,-502.2379557291667,-294.1080729166667
"[1688390355.8746715, 1688390355.878135, 1688390355.8815982, 1688390355.8850617, 1688390355.8885252, 1688390355.8919885, 1688390355.895452, 1688390355.8989153, 1688390355.9023788, 1688390355.9058423, 1688390355.9093056, 1688390355.912769]",-843.7093098958334,-520.1009114583334,-531.6975911458334,-636.23046875
"[1688390355.9134004, 1688390355.9168165, 1688390355.9202328, 1688390355.923649, 1688390355.9270651, 1688390355.9304814, 1688390355.9338977, 1688390355.9373138, 1688390355.94073, 1688390355.9441464, 1688390355.9475625, 1688390355.9509788]",-675.3336588541666,-500.6103515625,-439.0869140625,-689.1682942708334
"[1688390355.9525695, 1688390355.9559603, 1688390355.9593513, 1688390355.962742, 1688390355.9661329, 1688390355.9695237, 1688390355.9729147, 1688390355.9763055, 1688390355.9796963, 1688390355.9830873, 1688390355.986478, 1688390355.9898689]",-472.0052083333333,-505.8186848958333,-417.724609375,-648.2340494791666
[1688390355.9923081],-991.69921875,-560.05859375,-535.15625,-840.8203125
"[1688390355.9956877, 1688390355.999067, 1688390356.0024467, 1688390356.0058262, 1688390356.0092058, 1688390356.0125854, 1688390356.0159647, 1688390356.0193443, 1688390356.022724, 1688390356.0261035, 1688390356.029483]",-901.9442471590909,-570.9339488636364,-558.6825284090909,-933.8156960227273
"[1688390356.0330896, 1688390356.0364716, 1688390356.0398536, 1688390356.0432353, 1688390356.0466173, 1688390356.0499992, 1688390356.0533812, 1688390356.056763, 1688390356.060145, 1688390356.0635269, 1688390356.0669088, 1688390356.0702906]",-970.703125,-699.5035807291666,-642.3746744791666,-970.6624348958334
