timestamps,TP9,AF7,AF8,TP10,Right AUX
1688994410.729,4.395,75.684,1.465,-13.184,25.391
1688994410.733,11.230,75.684,-0.977,-18.066,38.574
1688994410.737,11.719,67.871,0.000,-3.418,42.480
1688994410.741,15.137,66.406,3.906,8.301,52.734
1688994410.745,23.926,55.664,8.789,7.324,52.246
1688994410.748,28.320,48.828,8.301,7.812,69.336
1688994410.752,20.020,62.012,9.766,6.348,42.969
1688994410.756,17.090,72.754,22.461,10.742,36.621
1688994410.760,19.531,71.777,18.555,13.672,57.617
1688994410.764,8.789,66.895,4.883,6.836,31.738
1688994410.768,8.789,56.152,-0.977,10.254,3.418
1688994410.772,20.508,39.062,0.000,18.555,0.977
1688994410.776,28.809,43.457,6.348,30.762,54.199
1688994410.780,32.227,58.594,15.625,42.480,49.316
1688994410.784,24.902,50.781,10.254,38.574,4.883
1688994410.787,40.039,50.781,16.113,40.039,-1.953
1688994410.791,42.480,46.387,20.020,41.016,-14.648
1688994410.795,51.270,16.113,-1.465,46.875,1.465
1688994410.799,107.910,28.320,-10.254,92.773,101.074
1688994410.803,81.055,57.129,9.766,77.637,119.141
1688994410.807,24.414,71.289,28.320,20.996,7.324
1688994410.811,34.668,63.477,41.016,43.945,-26.367
1688994410.815,39.062,55.176,55.176,61.035,30.762
1688994410.819,24.414,58.594,28.809,29.785,60.059
1688994410.823,11.719,36.133,13.184,5.371,37.598
1688994410.827,-40.039,0.000,2.930,-46.387,-27.832
1688994410.830,-54.688,16.602,-3.418,-55.176,-24.902
1688994410.834,-8.789,40.039,28.320,-8.789,78.125
1688994410.838,-9.277,1.465,29.785,5.859,52.246
1688994410.842,-26.367,-30.273,14.160,-6.348,31.738
1688994410.846,-3.418,-35.645,28.320,0.000,17.578
1688994410.850,0.977,-14.648,27.832,-2.930,-22.461
1688994410.854,-5.371,34.668,13.184,0.488,47.852
1688994410.858,9.277,55.176,5.859,30.762,47.363
1688994410.862,28.320,44.434,10.742,42.480,42.480
1688994410.866,36.621,-1.953,15.625,46.387,76.660
1688994410.869,37.109,-28.809,11.719,61.523,53.711
1688994410.873,52.734,-28.320,8.301,66.406,7.812
1688994410.877,68.848,-12.207,30.273,81.055,18.555
1688994410.881,70.801,-7.324,39.062,104.492,50.781
1688994410.885,50.781,-41.504,7.812,65.918,45.410
1688994410.889,31.738,-10.254,13.184,33.203,72.266
1688994410.893,53.711,14.648,30.762,60.547,71.777
1688994410.897,58.594,10.254,24.902,77.148,68.359
1688994410.901,32.227,42.480,-9.277,67.871,79.590
1688994410.905,33.203,75.195,-21.973,56.641,59.082
1688994410.909,56.641,4.883,31.250,63.477,4.395
1688994410.912,98.145,-18.555,67.871,116.699,62.988
1688994410.916,123.535,89.844,46.875,133.789,124.512
1688994410.920,53.711,98.633,14.160,50.781,27.832
1688994410.924,4.395,165.039,22.949,15.137,39.062
1688994410.928,-0.977,228.027,34.668,23.438,75.684
1688994410.932,0.000,214.844,30.762,26.367,47.363
1688994410.936,8.789,189.941,33.691,38.574,75.195
1688994410.940,29.297,164.062,53.711,53.223,57.617
1688994410.944,41.992,177.246,62.988,61.523,39.551
1688994410.948,40.039,204.102,58.594,56.641,52.734
1688994410.952,42.480,201.172,57.129,51.758,46.387
1688994410.955,44.922,195.312,63.965,61.035,43.945
1688994410.959,45.410,183.105,72.266,68.359,28.320
1688994410.963,44.434,178.711,74.707,72.754,48.828
1688994410.967,38.086,191.895,73.242,67.383,19.531
1688994410.971,25.879,200.684,74.219,56.641,16.113
1688994410.975,25.391,197.266,72.754,53.711,68.848
1688994410.979,29.785,190.430,65.918,54.688,20.996
1688994410.983,25.391,190.430,58.594,44.922,-0.977
1688994410.987,26.367,190.918,53.223,36.133,5.371
1688994410.991,21.973,182.617,51.758,29.785,-22.461
1688994410.994,23.438,176.758,45.898,34.180,13.672
1688994410.998,44.434,168.457,43.945,48.828,70.801
