timestamps,TP9,AF7,AF8,TP10,Right AUX
1689861617.763,38.574,30.762,4.883,9.766,46.387
1689861617.767,44.922,31.250,8.789,26.855,34.180
1689861617.771,37.109,29.297,17.578,30.762,30.762
1689861617.775,61.035,32.227,20.508,42.480,76.660
1689861617.778,134.277,29.297,21.484,49.316,82.031
1689861617.782,194.336,28.809,23.438,63.965,36.133
1689861617.786,162.109,28.320,22.949,57.129,34.668
1689861617.790,79.102,23.438,27.344,41.016,71.777
1689861617.794,0.977,20.508,32.227,35.645,49.316
1689861617.798,-33.691,20.996,38.574,27.344,25.391
1689861617.802,-51.270,16.602,48.340,9.766,75.195
1689861617.806,-46.875,16.113,50.781,-5.859,62.012
1689861617.810,-37.109,19.531,45.410,-0.977,13.184
1689861617.814,-20.996,20.020,41.992,6.836,-40.039
1689861617.818,-6.348,21.484,49.316,12.695,14.648
1689861617.821,-8.789,21.973,54.199,28.809,70.801
1689861617.825,-7.812,17.578,57.617,28.809,57.617
1689861617.829,-3.418,13.672,68.848,22.461,-5.859
1689861617.833,3.906,6.836,79.102,38.574,9.766
1689861617.837,13.672,9.766,73.730,37.598,50.781
1689861617.841,16.113,30.762,63.477,16.602,13.672
1689861617.845,-3.418,34.180,62.012,8.301,9.766
1689861617.849,-27.832,30.762,63.477,10.254,27.344
1689861617.853,-29.785,37.109,66.895,16.113,48.828
1689861617.857,-25.879,34.180,63.477,-14.648,58.594
1689861617.860,-15.137,40.527,62.012,-62.988,56.641
1689861617.864,22.949,54.199,60.547,-68.359,65.918
1689861617.868,51.758,58.594,51.758,-57.617,39.062
1689861617.872,-28.809,50.293,57.617,-49.805,24.902
1689861617.876,-93.262,46.387,62.988,-72.266,59.082
1689861617.880,-57.129,48.340,55.176,-100.098,48.340
1689861617.884,-44.434,51.270,55.176,-83.008,26.855
1689861617.888,-37.598,54.688,54.199,-46.387,-4.883
1689861617.892,-37.598,49.805,60.059,-33.203,33.691
1689861617.896,-40.039,52.246,61.523,-33.691,83.984
1689861617.900,-58.105,56.641,55.176,-38.574,57.617
1689861617.903,-74.707,53.711,53.711,-41.504,51.270
1689861617.907,-41.504,61.035,45.898,-42.480,75.195
1689861617.911,-24.902,71.289,39.551,-47.852,59.082
1689861617.915,-27.344,68.359,38.086,-41.504,28.809
1689861617.919,10.254,70.312,37.598,-24.902,33.691
1689861617.923,14.648,72.754,38.086,-17.578,14.648
1689861617.927,-14.648,69.824,35.156,-19.531,5.371
1689861617.931,13.184,76.172,29.297,-67.383,20.996
1689861617.935,73.730,85.938,20.996,-94.727,71.777
1689861617.939,35.156,81.055,20.020,-47.852,52.246
1689861617.942,-72.266,72.754,23.926,-29.297,-30.762
1689861617.946,-98.145,78.613,19.043,-60.547,-21.973
1689861617.950,-73.242,81.055,8.301,-68.359,-54.199
