timestamps,TP9,AF7,AF8,TP10,Right AUX
1678714318.851,-0.488,28.320,64.941,-51.758,-34.668
1678714318.855,-14.648,21.484,52.734,-54.199,15.137
1678714318.859,13.184,20.020,47.852,0.000,16.602
1678714318.863,-31.738,18.066,55.664,-7.324,53.711
1678714318.867,-65.430,21.973,62.500,-65.430,72.754
1678714318.871,1.953,26.855,60.059,-56.152,39.062
1678714318.875,22.949,25.879,50.293,-61.523,41.504
1678714318.879,22.461,21.973,48.828,9.766,63.477
1678714318.882,2.441,17.578,53.711,-3.418,83.496
1678714318.886,-26.367,20.508,61.523,-51.758,55.664
1678714318.890,-16.113,29.785,62.988,-9.766,68.848
1678714318.894,7.812,28.809,47.852,-14.648,47.852
1678714318.898,24.902,20.020,43.457,15.137,-6.348
1678714318.902,29.785,24.902,47.363,29.785,18.066
1678714318.906,6.836,32.227,53.223,16.113,58.594
1678714318.910,4.395,28.809,57.129,13.184,62.012
1678714318.914,2.930,24.414,46.875,-7.324,55.176
1678714318.918,3.906,14.160,38.574,30.273,48.340
1678714318.922,37.598,15.137,42.480,80.078,59.570
1678714318.925,20.020,22.949,48.828,20.508,13.184
1678714318.929,-27.344,18.555,48.340,-45.898,21.973
1678714318.933,-16.602,14.160,49.805,-3.906,61.523
1678714318.937,-12.695,36.133,41.992,28.320,65.918
1678714318.941,-10.254,35.645,36.133,18.066,20.508
1678714318.945,26.855,17.090,43.945,34.180,-26.367
1678714318.949,-3.906,17.090,48.828,11.719,43.945
1678714318.953,1.465,19.531,48.828,-7.812,27.344
1678714318.957,35.156,15.625,46.387,37.109,67.871
1678714318.961,21.484,10.742,43.457,103.027,59.082
1678714318.965,2.930,13.184,43.457,52.246,29.297
1678714318.968,-25.391,23.438,54.199,-13.672,68.848
1678714318.972,-28.320,27.344,46.387,-6.348,2.930
1678714318.976,17.090,17.578,29.297,4.883,-12.695
1678714318.980,25.391,17.090,31.250,40.527,68.359
1678714318.984,11.230,22.461,37.109,8.789,-5.371
1678714318.988,-13.672,31.250,38.574,-32.227,-24.902
1678714318.992,-42.969,33.691,36.133,-14.648,63.965
1678714318.996,-0.977,20.508,33.203,25.391,83.008
1678714319.000,37.109,17.090,29.785,38.574,57.617
1678714319.004,20.508,25.391,32.227,19.531,52.734
1678714319.007,-21.484,25.879,37.109,-6.348,22.949
1678714319.011,-37.109,23.926,43.457,-10.742,-20.020
1678714319.015,2.930,23.438,37.598,-3.418,0.977
1678714319.019,-2.930,15.625,25.391,19.531,-2.441
1678714319.023,-18.555,15.625,30.762,19.531,35.645
1678714319.027,-13.672,23.926,41.992,-25.391,46.875
1678714319.031,-16.113,24.414,41.016,-44.922,14.648
1678714319.035,19.531,19.531,27.832,-12.207,35.156
1678714319.039,17.578,11.230,22.461,19.043,15.625
1678714319.043,-13.672,8.301,28.320,26.855,14.160
1678714319.047,-19.043,14.648,35.645,-6.348,27.344
1678714319.050,-21.973,22.461,36.621,-49.316,55.176
1678714319.054,5.371,20.996,30.273,-6.836,81.055
1678714319.058,25.391,21.484,26.855,44.434,52.246
1678714319.062,13.672,19.531,27.344,19.043,41.504
1678714319.066,-16.113,20.996,30.273,-31.250,19.043
1678714319.070,-35.156,25.391,36.621,-29.785,47.363
1678714319.074,-15.625,19.043,32.227,-1.953,57.129
1678714319.078,32.715,17.090,17.090,6.348,32.715
1678714319.082,39.062,19.531,23.926,19.043,36.133
1678714319.086,3.418,21.484,39.062,-7.324,21.484
1678714319.090,-32.227,26.367,36.621,-48.828,31.738
1678714319.093,-35.156,25.391,30.762,-11.719,24.902
1678714319.097,19.043,16.602,27.344,39.551,6.348
1678714319.101,33.691,16.602,28.809,32.227,6.348
1678714319.105,-5.371,23.438,38.086,-15.137,-18.555
1678714319.109,-20.996,25.879,38.086,-32.715,-1.953
1678714319.113,-15.625,23.926,31.738,-16.113,21.484
1678714319.117,6.836,17.090,27.832,0.488,40.527
1678714319.121,33.203,14.648,26.855,25.879,18.066
1678714319.125,5.859,20.020,32.227,-7.324,-11.230
1678714319.129,-33.203,25.879,41.016,-50.781,42.969
1678714319.132,-1.953,25.391,37.598,-29.785,23.438
1678714319.136,27.832,18.066,27.344,3.418,45.898
1678714319.140,20.996,21.973,22.949,29.785,52.734
1678714319.144,0.977,27.832,29.785,3.418,-29.785
1678714319.148,-17.578,28.809,38.086,-33.691,0.000
1678714319.152,-12.207,27.344,34.668,-38.086,12.695
1678714319.156,5.859,16.113,20.508,-17.578,4.883
1678714319.160,27.344,15.137,16.113,20.996,77.148
1678714319.164,16.113,18.066,28.809,-3.906,80.078
1678714319.168,-3.418,22.949,35.645,-41.016,37.598
1678714319.172,-5.371,28.809,37.109,-45.898,-4.883
1678714319.175,7.324,23.438,32.715,-9.277,-56.641
1678714319.179,27.832,19.531,23.926,29.297,-7.324
1678714319.183,23.926,25.391,24.414,-0.488,19.043
1678714319.187,-11.719,30.762,37.598,-37.109,16.602
1678714319.191,-17.578,30.762,43.457,-29.785,28.320
1678714319.195,8.789,26.855,30.273,11.230,41.992
1678714319.199,23.926,20.996,19.043,34.668,41.504
1678714319.203,24.902,23.926,26.367,31.738,65.430
1678714319.207,9.766,33.691,36.621,-5.859,54.688
1678714319.211,-14.648,38.086,30.273,-31.738,29.297
1678714319.214,7.812,27.832,23.926,-0.977,35.156
1678714319.218,37.109,18.555,24.414,37.598,42.480
1678714319.222,23.926,22.461,28.320,47.363,31.738
1678714319.226,3.906,28.809,36.133,11.719,37.598
1678714319.230,3.418,32.227,35.645,-22.461,-5.371
1678714319.234,12.207,24.414,25.391,-1.953,-0.977
1678714319.238,20.996,18.066,16.113,38.574,48.340
1678714319.242,32.227,21.973,19.043,44.434,22.461
1678714319.246,1.465,28.320,31.250,12.695,59.570
1678714319.250,-29.297,30.273,37.109,-21.484,37.598
1678714319.254,2.930,22.949,28.809,-7.324,39.551
1678714319.257,26.855,15.625,18.066,37.109,37.109
1678714319.261,14.648,20.996,20.508,43.945,40.039
1678714319.265,8.301,28.320,30.273,5.371,21.484
1678714319.269,-11.230,28.320,34.668,-23.438,27.344
1678714319.273,-4.883,16.602,33.203,19.043,83.984
1678714319.277,21.973,8.301,26.855,68.359,87.402
1678714319.281,26.855,14.160,27.832,41.016,61.035
1678714319.285,-11.230,19.043,41.016,8.789,62.988
1678714319.289,-56.152,16.113,50.781,4.883,12.695
1678714319.293,-13.184,9.766,50.781,-16.113,-14.160
1678714319.297,6.836,0.000,47.363,23.438,69.824
1678714319.300,-15.625,-7.812,48.340,52.734,25.879
1678714319.304,-20.508,-2.930,55.664,28.320,-39.551
1678714319.308,-55.176,-3.418,64.941,-12.207,-24.414
1678714319.312,-66.895,-10.254,62.500,-34.180,25.879
1678714319.316,-26.367,-11.719,55.176,6.836,65.430
1678714319.320,-13.672,-13.184,47.852,51.758,84.961
1678714319.324,-20.996,-4.883,52.246,50.293,85.938
1678714319.328,-32.227,1.465,56.152,-5.859,63.965
1678714319.332,-3.418,2.441,56.152,-33.203,58.105
1678714319.336,11.230,-1.465,50.293,10.254,89.355
1678714319.339,-2.930,-3.418,45.898,59.570,95.215
1678714319.343,-1.465,-0.488,53.711,36.621,104.980
1678714319.347,-31.738,-4.395,61.523,-17.578,89.355
1678714319.351,-42.480,-5.371,59.082,-24.414,57.617
1678714319.355,-9.277,-2.441,53.223,18.066,24.414
1678714319.359,14.648,2.930,48.828,48.828,49.316
1678714319.363,9.277,12.695,50.293,38.086,-1.953
1678714319.367,-16.113,19.531,56.152,-8.789,-58.594
1678714319.371,-30.762,21.484,59.082,-32.227,8.789
1678714319.375,14.160,13.184,53.223,19.531,37.598
1678714319.379,48.340,6.836,44.434,67.871,29.297
1678714319.382,38.086,11.230,45.898,64.453,-14.160
1678714319.386,16.602,18.555,54.688,31.250,-0.488
