timestamps,TP9,AF7,AF8,TP10,Right AUX
1687169486.417,104.492,60.059,34.668,20.996,-26.855
1687169486.421,101.074,58.594,36.133,16.113,26.855
1687169486.425,106.934,59.570,38.574,37.598,-18.066
1687169486.429,104.980,62.500,35.156,58.594,-20.020
1687169486.433,82.520,64.453,31.738,54.688,24.902
1687169486.437,91.797,62.500,32.227,35.156,21.484
1687169486.441,125.488,62.500,35.156,21.973,32.715
1687169486.445,118.652,61.035,32.715,19.043,56.641
1687169486.449,115.234,57.617,32.227,26.367,29.785
1687169486.452,119.141,60.547,35.156,9.766,3.906
1687169486.456,106.934,63.965,34.180,-2.441,33.691
1687169486.460,123.047,62.500,36.621,2.441,48.340
1687169486.464,142.578,61.523,39.062,-3.906,45.898
1687169486.468,123.535,60.547,38.086,-7.812,51.758
1687169486.472,109.375,58.105,40.039,4.883,-3.418
1687169486.476,97.168,56.152,41.504,4.883,28.809
1687169486.480,83.984,57.129,39.062,-10.742,87.891
1687169486.484,81.055,63.477,34.668,-19.043,83.496
1687169486.488,76.172,66.895,36.133,-29.297,13.672
1687169486.491,47.363,60.547,41.992,-36.133,-4.395
1687169486.495,52.734,57.617,41.504,-22.461,52.734
1687169486.499,89.844,61.035,42.969,-9.766,104.980
1687169486.503,96.680,63.965,44.922,-12.695,85.938
1687169486.507,100.586,61.523,45.410,-2.441,11.230
1687169486.511,97.656,60.547,41.504,9.766,17.090
1687169486.515,87.402,62.988,39.062,7.812,32.715
1687169486.519,84.961,63.965,42.480,17.578,37.598
1687169486.523,86.426,57.617,40.527,20.996,16.113
1687169486.527,95.215,55.664,41.504,20.996,36.621
1687169486.531,101.562,62.012,43.945,42.480,20.996
1687169486.534,89.355,62.988,41.992,54.688,-3.418
1687169486.538,82.520,63.477,40.527,63.477,52.246
1687169486.542,101.074,62.988,44.434,78.613,63.965
1687169486.546,109.375,65.918,44.434,88.379,51.758
1687169486.550,100.586,67.383,40.039,93.750,-23.438
1687169486.554,101.562,65.430,44.922,102.051,0.488
1687169486.558,84.473,63.477,46.875,114.258,87.402
1687169486.562,63.965,59.570,44.922,125.977,76.660
1687169486.566,82.031,67.383,48.828,141.602,14.160
1687169486.570,89.355,70.801,53.711,150.879,11.719
1687169486.573,58.105,69.824,62.012,141.113,68.359
1687169486.577,42.480,69.336,70.801,129.395,48.828
1687169486.581,72.754,65.918,71.777,107.422,-5.859
1687169486.585,56.152,65.430,71.777,80.566,-10.742
1687169486.589,28.320,69.824,76.172,80.078,24.902
1687169486.593,26.367,74.219,95.703,81.055,26.855
1687169486.597,17.578,67.871,109.863,57.129,-25.391
1687169486.601,-10.254,61.035,115.234,15.625,-22.949
1687169486.605,-35.645,56.641,127.441,5.371,16.113
1687169486.609,-39.551,59.082,133.789,5.859,-17.090
1687169486.613,-37.109,64.453,130.859,-4.883,25.391
1687169486.616,-59.570,66.895,129.883,-29.785,72.754
1687169486.620,-58.105,67.871,130.371,-35.645,6.348
1687169486.624,-34.180,72.754,127.441,-12.695,30.762
1687169486.628,-31.250,75.684,120.117,2.930,39.551
1687169486.632,-26.367,76.660,106.445,13.672,-10.742
1687169486.636,-6.348,76.660,93.750,10.254,42.480
1687169486.640,5.371,69.824,87.891,3.906,48.828
1687169486.644,15.625,70.801,77.148,19.043,66.895
1687169486.648,40.039,71.777,64.453,32.715,85.449
1687169486.652,41.992,66.895,57.129,32.715,12.207
1687169486.656,30.762,64.453,51.270,28.809,-2.441
1687169486.659,44.434,63.965,43.457,30.762,14.648
1687169486.663,76.172,61.035,36.621,41.992,9.766
1687169486.667,89.355,59.082,32.715,51.270,22.949
1687169486.671,99.609,62.988,26.855,50.781,88.867
1687169486.675,92.285,62.988,26.855,52.246,90.332
1687169486.679,89.355,61.035,23.926,50.293,-17.090
1687169486.683,99.121,61.523,14.648,35.645,28.320
1687169486.687,103.516,56.641,10.254,24.902,60.547
1687169486.691,101.562,60.059,9.766,22.949,31.738
1687169486.695,104.980,60.547,8.301,17.090,62.012
1687169486.698,121.094,57.617,6.836,7.324,46.875
1687169486.702,141.602,59.570,8.301,4.883,38.574
1687169486.706,134.766,58.105,8.301,0.488,42.969
1687169486.710,124.512,61.035,2.441,-2.930,69.824
1687169486.714,129.883,60.547,1.953,-0.977,62.988
1687169486.718,144.531,58.594,4.883,4.395,49.805
1687169486.722,146.973,60.547,6.348,12.695,41.992
1687169486.726,137.207,59.082,5.859,9.277,-8.301
1687169486.730,141.113,58.594,3.906,14.160,8.301
1687169486.734,130.859,58.594,1.465,0.977,16.602
1687169486.738,136.230,55.176,5.371,0.488,40.527
1687169486.741,152.344,57.129,6.348,19.043,68.359
1687169486.745,148.926,58.105,3.418,26.367,-1.465
1687169486.749,153.320,57.129,5.859,27.832,43.945
1687169486.753,142.578,57.617,6.836,27.344,48.340
1687169486.757,143.555,59.082,6.348,30.762,22.949
1687169486.761,148.926,57.617,3.418,25.391,92.773
1687169486.765,125.000,53.223,4.395,18.555,73.730
1687169486.769,122.559,54.688,6.348,18.066,39.062
1687169486.773,140.137,57.129,3.906,15.625,37.598
1687169486.777,138.672,60.059,5.859,17.090,12.695
1687169486.781,135.254,56.152,7.812,21.484,26.855
1687169486.784,139.160,56.641,4.883,17.578,44.434
1687169486.788,139.160,59.570,6.348,14.648,15.137
1687169486.792,120.605,61.523,10.742,-1.953,36.621
