timestamps,TP9,AF7,AF8,TP10,Right AUX
1689934105.809,59.570,48.828,11.230,-2.441,53.711
1689934105.813,73.730,52.246,19.531,55.664,-9.766
1689934105.817,47.852,41.504,40.527,95.703,33.691
1689934105.821,19.043,30.273,38.086,54.688,19.043
1689934105.825,8.301,10.254,36.133,-19.043,33.203
1689934105.829,6.348,17.090,36.621,-37.109,94.238
1689934105.833,-10.254,37.598,40.527,-17.578,72.754
1689934105.837,-16.602,38.086,42.969,35.156,47.852
1689934105.841,-23.926,34.668,40.527,29.785,20.508
1689934105.845,-34.180,36.133,41.504,-40.039,-0.488
1689934105.848,-36.133,38.086,35.645,-65.918,-3.418
1689934105.852,-35.156,32.715,36.133,-30.762,20.020
1689934105.856,-20.508,13.184,40.039,34.668,57.129
1689934105.860,-21.484,12.207,42.480,35.156,8.301
1689934105.864,-30.762,28.320,43.945,-32.227,-15.625
1689934105.868,-30.762,40.527,42.969,-74.707,27.344
1689934105.872,-19.043,51.270,41.504,-35.156,63.965
1689934105.876,-6.836,52.734,39.062,28.320,70.312
1689934105.880,-5.371,50.293,38.086,32.715,48.828
1689934105.884,-4.395,49.805,32.715,-7.324,48.828
1689934105.888,-8.301,39.551,26.855,-58.105,44.434
1689934105.892,-6.836,34.668,31.738,-43.945,33.203
1689934105.895,7.812,43.945,36.621,34.180,12.207
1689934105.899,8.301,38.086,29.785,50.781,5.371
1689934105.903,2.930,31.250,27.832,6.348,14.648
1689934105.907,9.277,34.668,31.250,-41.504,21.973
1689934105.911,19.043,38.086,30.762,-31.250,71.289
1689934105.915,19.531,33.691,31.250,38.574,62.012
1689934105.919,21.973,29.785,30.273,65.918,-4.883
1689934105.923,23.438,30.273,29.785,31.738,-5.859
1689934105.927,13.672,30.762,28.809,-19.531,44.922
1689934105.931,16.113,30.762,29.297,-9.766,41.992
1689934105.935,24.902,34.668,31.250,49.316,35.645
1689934105.939,25.879,36.133,31.250,77.637,39.551
1689934105.942,20.020,34.180,30.273,42.969,0.488
1689934105.946,7.812,36.133,33.203,-19.531,47.363
1689934105.950,10.742,32.227,36.133,-28.320,52.734
1689934105.954,18.555,25.391,34.668,33.203,2.930
1689934105.958,25.391,24.902,32.227,75.195,55.176
1689934105.962,18.066,31.738,32.715,41.504,16.113
1689934105.966,10.742,40.039,34.668,-20.020,-26.855
1689934105.970,12.695,40.527,35.156,-27.832,35.645
1689934105.974,20.996,36.621,35.156,21.973,39.551
1689934105.978,31.250,37.598,34.668,50.781,66.406
1689934105.982,32.715,20.020,35.156,33.691,25.879
1689934105.986,35.645,14.160,35.156,-4.883,-26.367
1689934105.989,30.273,37.598,33.691,-24.902,8.789
1689934105.993,27.344,43.945,41.504,14.648,-2.441
1689934105.997,29.785,42.480,42.480,70.801,44.922
1689934106.001,34.668,28.809,40.039,63.477,55.664
1689934106.005,22.461,18.555,40.527,10.742,13.672
1689934106.009,5.371,31.738,36.133,-32.227,27.832
1689934106.013,8.301,33.203,33.691,-2.930,9.766
1689934106.017,17.578,21.973,33.691,59.570,34.180
1689934106.021,20.020,24.414,29.297,60.059,86.426
1689934106.025,11.230,35.156,26.855,19.043,88.379
1689934106.029,11.719,38.086,25.391,-31.738,53.711
1689934106.033,9.277,35.645,27.832,-12.695,63.477
1689934106.036,9.766,28.809,33.203,50.293,43.945
1689934106.040,21.973,19.043,31.738,67.383,11.719
1689934106.044,25.879,20.020,30.762,29.785,9.766
1689934106.048,18.555,36.133,30.273,-16.113,-8.789
1689934106.052,16.602,41.016,28.809,1.465,4.395
1689934106.056,29.297,41.016,30.273,64.453,-1.953
1689934106.060,38.574,44.434,29.297,86.914,-42.480
1689934106.064,34.668,37.109,27.344,47.852,-0.977
1689934106.068,37.109,23.438,20.020,0.000,48.828
1689934106.072,39.551,25.879,13.672,4.883,30.762
1689934106.076,37.598,40.039,20.508,61.523,24.414
1689934106.080,35.156,47.363,20.020,93.750,-2.930
1689934106.084,28.320,46.875,21.973,43.945,-2.441
1689934106.087,22.461,41.992,28.320,-17.578,23.926
1689934106.091,30.762,35.645,24.414,1.465,77.637
1689934106.095,41.504,39.551,26.367,65.430,87.891
1689934106.099,42.480,50.293,28.320,92.285,59.570
1689934106.103,37.109,53.223,23.438,54.688,62.988
1689934106.107,30.762,46.387,22.949,-8.789,73.730
1689934106.111,29.297,35.645,26.855,-17.090,130.859
1689934106.115,35.156,28.809,26.367,39.551,108.887
1689934106.119,37.598,33.203,26.855,83.008,-3.418
1689934106.123,35.156,43.457,25.879,54.688,18.066
1689934106.127,28.320,43.457,23.926,-2.930,45.898
1689934106.131,24.902,40.039,24.902,-10.742,50.293
1689934106.134,29.297,38.086,25.391,39.551,40.039
1689934106.138,34.180,39.062,21.484,83.008,60.547
1689934106.142,31.738,37.109,20.508,62.012,92.285
1689934106.146,22.461,33.203,24.414,4.883,68.359
1689934106.150,21.484,35.645,21.484,-19.531,13.672
1689934106.154,28.320,33.203,18.555,19.043,-35.645
1689934106.158,35.645,35.156,19.043,68.359,-28.809
1689934106.162,35.156,33.203,16.602,62.500,-1.465
1689934106.166,26.855,27.344,20.996,7.324,42.480
1689934106.170,18.066,27.344,24.902,-24.902,52.734
1689934106.174,23.926,32.227,20.996,11.719,47.363
1689934106.178,32.227,39.062,21.484,67.871,42.969
1689934106.181,34.180,44.922,30.762,65.918,17.090
1689934106.185,23.926,42.969,33.691,0.977,-15.625
1689934106.189,13.672,41.504,28.320,-33.203,6.836
1689934106.193,18.066,22.461,28.320,-2.930,21.973
1689934106.197,24.414,0.488,30.273,51.758,58.594
1689934106.201,27.344,24.902,27.344,55.664,38.574
1689934106.205,20.996,44.434,24.414,-2.930,26.855
1689934106.209,15.625,41.504,25.391,-38.574,30.273
1689934106.213,31.738,27.832,23.438,-2.441,14.648
1689934106.217,64.941,23.438,19.043,80.566,45.898
1689934106.221,69.336,38.086,13.672,97.168,27.832
1689934106.225,25.391,41.992,17.578,18.555,104.980
1689934106.228,6.836,31.738,18.555,-37.598,92.285
1689934106.232,11.719,25.391,14.160,-16.113,0.000
1689934106.236,18.555,30.273,16.113,35.645,-5.371
1689934106.240,36.621,27.344,14.648,57.129,-7.812
1689934106.244,24.902,21.973,13.672,8.301,68.848
1689934106.248,18.066,25.391,12.695,-44.922,133.789
1689934106.252,23.926,26.855,15.625,-20.020,55.176
1689934106.256,20.508,33.203,10.254,30.762,31.250
1689934106.260,25.879,41.504,7.324,64.941,34.668
1689934106.264,34.180,40.039,15.137,50.293,-17.578
1689934106.268,26.855,36.621,17.578,-20.508,-50.293
1689934106.272,21.973,33.203,17.090,-25.391,-11.719
1689934106.275,35.156,20.996,17.090,39.062,11.719
1689934106.279,42.969,12.695,20.508,79.590,-17.090
1689934106.283,33.691,18.555,27.832,53.711,-42.969
1689934106.287,29.297,39.062,25.391,-0.488,-1.953
1689934106.291,24.902,41.992,16.113,-21.484,9.766
1689934106.295,28.809,36.621,19.531,41.504,-49.805
1689934106.299,41.992,36.133,23.926,95.703,-3.418
1689934106.303,47.852,30.762,25.879,82.520,58.594
1689934106.307,39.551,35.156,27.832,14.648,-16.602
1689934106.311,31.250,22.949,27.344,-18.066,14.648
1689934106.315,35.645,14.160,26.855,37.109,60.547
1689934106.319,41.992,32.715,22.949,81.055,-28.320
1689934106.322,41.504,34.180,22.461,65.430,3.418
1689934106.326,32.227,27.344,25.879,14.160,-18.555
1689934106.330,25.391,31.250,23.926,-16.602,5.371
1689934106.334,29.785,25.879,18.555,11.230,62.012
1689934106.338,41.992,23.926,18.555,73.730,46.387
1689934106.342,45.898,34.180,24.414,83.008,40.039
1689934106.346,36.621,31.738,27.344,22.461,8.301
1689934106.350,23.926,24.414,21.484,-10.742,81.543
1689934106.354,28.809,18.555,23.438,14.160,68.848
1689934106.358,40.039,30.273,26.855,61.523,3.418
1689934106.362,35.645,39.062,23.926,70.312,15.137
